neighborhood,price_bin,review_bin,count
Nob Hill,$401-$500,up to 10,1
Noe Valley,>$500,single review,2
Noe Valley,>$500,up to 10,5
Noe Valley,>$500,up to 100,2
Noe Valley,$100 and less,over 100,7
Noe Valley,$100 and less,single review,3
Noe Valley,$100 and less,up to 10,13
Noe Valley,$100 and less,up to 100,21
Noe Valley,$101-$200,over 100,9
Noe Valley,$101-$200,single review,22
Noe Valley,$101-$200,up to 10,41
Noe Valley,$101-$200,up to 100,49
Noe Valley,$201-$300,over 100,2
Noe Valley,$201-$300,single review,6
Noe Valley,$201-$300,up to 10,23
Noe Valley,$201-$300,up to 100,20
Noe Valley,$301-$400,single review,2
Noe Valley,$301-$400,up to 10,9
Noe Valley,$301-$400,up to 100,8
Noe Valley,$401-$500,single review,1
Noe Valley,$401-$500,up to 10,3
Noe Valley,$401-$500,up to 100,5
Outer Sunset,>$500,single review,1
Outer Sunset,$100 and less,over 100,5
Outer Sunset,$100 and less,single review,20
Outer Sunset,$100 and less,up to 10,62
Outer Sunset,$100 and less,up to 100,54
Outer Sunset,$101-$200,over 100,10
Outer Sunset,$101-$200,single review,10
Outer Sunset,$101-$200,up to 10,21
Outer Sunset,$101-$200,up to 100,44
Outer Sunset,$201-$300,single review,2
Outer Sunset,$201-$300,up to 10,10
Outer Sunset,$201-$300,up to 100,17
Outer Sunset,$301-$400,single review,2
Outer Sunset,$301-$400,up to 10,3
Outer Sunset,$301-$400,up to 100,1
Outer Sunset,$401-$500,single review,1
Outer Sunset,$401-$500,up to 10,4
Outer Sunset,$401-$500,up to 100,2
Pacific Heights,>$500,single review,2
Pacific Heights,>$500,up to 10,10
Pacific Heights,>$500,up to 100,3
Pacific Heights,$100 and less,single review,6
Pacific Heights,$100 and less,up to 10,9
Pacific Heights,$100 and less,up to 100,5
Pacific Heights,$101-$200,over 100,4
Pacific Heights,$101-$200,single review,12
Pacific Heights,$101-$200,up to 10,28
Pacific Heights,$101-$200,up to 100,35
Pacific Heights,$201-$300,single review,10
Pacific Heights,$201-$300,up to 10,18
