neighborhood,room_type,current_year_count,count_bin,price,price_range
Richmond District,Entire home/apt,11,Less than 50,350,$300-$399
Mission District,Entire home/apt,18,Less than 50,491,$400-$499
The Castro,Entire home/apt,12,Less than 50,115,$100-$199
Mission District,Private room,35,Less than 50,75,Less than $100
Richmond District,Entire home/apt,5,Less than 50,325,$300-$399
Inner Sunset,Entire home/apt,123,101-150,139,$100-$199
Bernal Heights,Private room,5,Less than 50,99,Less than $100
Haight-Ashbury,Entire home/apt,38,Less than 50,500,$500-$999
The Castro,Entire home/apt,19,Less than 50,180,$100-$199
Mission District,Private room,45,Less than 50,90,Less than $100
Downtown,Entire home/apt,18,Less than 50,115,$100-$199
Bernal Heights,Private room,202,201-250,95,Less than $100
Western Addition/NOPA,Private room,59,51-100,90,Less than $100
Richmond District,Entire home/apt,4,Less than 50,110,$100-$199
Richmond District,Entire home/apt,5,Less than 50,275,$200-$299
Noe Valley,Private room,223,201-250,125,$100-$199
Marina,Entire home/apt,2,Less than 50,175,$100-$199
Mission District,Entire home/apt,6,Less than 50,195,$100-$199
Mission District,Entire home/apt,5,Less than 50,450,$400-$499
Mission District,Entire home/apt,102,101-150,125,$100-$199
Noe Valley,Entire home/apt,11,Less than 50,175,$100-$199
Mission District,Entire home/apt,26,Less than 50,195,$100-$199
The Castro,Private room,228,201-250,125,$100-$199
Mission District,Private room,48,Less than 50,90,Less than $100
SoMa,Entire home/apt,28,Less than 50,410,$400-$499
Mission District,Entire home/apt,10,Less than 50,179,$100-$199
Inner Sunset,Entire home/apt,5,Less than 50,550,$500-$999
Mission District,Private room,22,Less than 50,79,Less than $100
Noe Valley,Private room,71,51-100,95,Less than $100
Bernal Heights,Entire home/apt,68,51-100,140,$100-$199
Marina,Entire home/apt,55,51-100,229,$200-$299
Bernal Heights,Private room,49,Less than 50,89,Less than $100
Downtown,Entire home/apt,23,Less than 50,148,$100-$199
Marina,Entire home/apt,53,51-100,395,$300-$399
Richmond District,Entire home/apt,16,Less than 50,450,$400-$499
Inner Sunset,Entire home/apt,6,Less than 50,395,$300-$399
Hayes Valley,Private room,259,251-300,125,$100-$199
Bernal Heights,Private room,16,Less than 50,75,Less than $100
Noe Valley,Private room,118,101-150,83,Less than $100
Mission District,Entire home/apt,15,Less than 50,780,$500-$999
The Castro,Private room,36,Less than 50,180,$100-$199
SoMa,Entire home/apt,11,Less than 50,369,$300-$399
Bernal Heights,Private room,114,101-150,90,Less than $100
SoMa,Entire home/apt,156,151-200,249,$200-$299
Richmond District,Entire home/apt,14,Less than 50,380,$300-$399
Mission District,Entire home/apt,81,51-100,295,$200-$299
Haight-Ashbury,Entire home/apt,83,51-100,265,$200-$299
Potrero Hill,Private room,123,101-150,75,Less than $100
Western Addition/NOPA,Private room,2,Less than 50,100,$100-$199
Pacific Heights,Entire home/apt,56,51-100,360,$300-$399
Richmond District,Entire home/apt,85,51-100,149,$100-$199
Inner Sunset,Private room,209,201-250,69,Less than $100
The Castro,Entire home/apt,97,51-100,175,$100-$199
Haight-Ashbury,Entire home/apt,122,101-150,195,$100-$199
Pacific Heights,Private room,24,Less than 50,130,$100-$199
Potrero Hill,Entire home/apt,21,Less than 50,1150,$1000+
Richmond District,Entire home/apt,66,51-100,199,$100-$199
The Castro,Private room,14,Less than 50,108,$100-$199
Bernal Heights,Private room,197,151-200,117,$100-$199
Richmond District,Private room,80,51-100,150,$100-$199
Richmond District,Entire home/apt,85,51-100,190,$100-$199
The Castro,Entire home/apt,14,Less than 50,125,$100-$199
Bernal Heights,Entire home/apt,5,Less than 50,250,$200-$299
Mission District,Entire home/apt,161,151-200,115,$100-$199
SoMa,Entire home/apt,11,Less than 50,235,$200-$299
Mission District,Private room,51,51-100,80,Less than $100
Bernal Heights,Private room,102,101-150,90,Less than $100
Noe Valley,Entire home/apt,12,Less than 50,314,$300-$399
Western Addition/NOPA,Entire home/apt,189,151-200,129,$100-$199
Inner Sunset,Entire home/apt,132,101-150,179,$100-$199
Mission District,Entire home/apt,29,Less than 50,120,$100-$199
Potrero Hill,Entire home/apt,390,More than 301,200,$200-$299
Nob Hill,Entire home/apt,67,51-100,189,$100-$199
Haight-Ashbury,Private room,189,151-200,102,$100-$199
Western Addition/NOPA,Entire home/apt,8,Less than 50,185,$100-$199
Mission District,Private room,100,51-100,100,$100-$199
Haight-Ashbury,Private room,185,151-200,108,$100-$199
Haight-Ashbury,Entire home/apt,23,Less than 50,525,$500-$999
Mission District,Private room,29,Less than 50,130,$100-$199
Haight-Ashbury,Private room,206,201-250,85,Less than $100
Nob Hill,Private room,3,Less than 50,150,$100-$199
Mission District,Private room,17,Less than 50,99,Less than $100
Bernal Heights,Entire home/apt,41,Less than 50,147,$100-$199
Inner Sunset,Private room,23,Less than 50,85,Less than $100
Haight-Ashbury,Private room,208,201-250,90,Less than $100
Mission District,Entire home/apt,18,Less than 50,130,$100-$199
Mission District,Private room,169,151-200,115,$100-$199
Haight-Ashbury,Private room,22,Less than 50,90,Less than $100
Bernal Heights,Entire home/apt,18,Less than 50,175,$100-$199
Mission District,Entire home/apt,6,Less than 50,400,$400-$499
Potrero Hill,Entire home/apt,8,Less than 50,450,$400-$499
Nob Hill,Entire home/apt,32,Less than 50,995,$500-$999
Nob Hill,Entire home/apt,115,101-150,239,$200-$299
Richmond District,Entire home/apt,24,Less than 50,185,$100-$199
Mission District,Private room,15,Less than 50,258,$200-$299
Outer Sunset,Entire home/apt,103,101-150,135,$100-$199
Bernal Heights,Private room,70,51-100,75,Less than $100
Inner Sunset,Private room,3,Less than 50,70,Less than $100
SoMa,Entire home/apt,21,Less than 50,160,$100-$199
Richmond District,Entire home/apt,265,251-300,145,$100-$199
Mission District,Entire home/apt,1,Less than 50,166,$100-$199
Bernal Heights,Entire home/apt,21,Less than 50,389,$300-$399
Haight-Ashbury,Entire home/apt,55,51-100,500,$500-$999
Hayes Valley,Entire home/apt,3,Less than 50,95,Less than $100
Outer Sunset,Entire home/apt,3,Less than 50,395,$300-$399
Potrero Hill,Entire home/apt,12,Less than 50,275,$200-$299
Richmond District,Private room,20,Less than 50,138,$100-$199
The Castro,Private room,317,More than 301,129,$100-$199
Richmond District,Private room,136,101-150,100,$100-$199
SoMa,Private room,22,Less than 50,125,$100-$199
Mission District,Entire home/apt,23,Less than 50,390,$300-$399
SoMa,Entire home/apt,30,Less than 50,200,$200-$299
Western Addition/NOPA,Private room,32,Less than 50,50,Less than $100
The Castro,Private room,52,51-100,78,Less than $100
The Castro,Private room,138,101-150,160,$100-$199
SoMa,Entire home/apt,70,51-100,189,$100-$199
Outer Sunset,Private room,102,101-150,99,Less than $100
Bernal Heights,Private room,65,51-100,100,$100-$199
Mission District,Entire home/apt,5,Less than 50,189,$100-$199
SoMa,Entire home/apt,33,Less than 50,425,$400-$499
Potrero Hill,Entire home/apt,17,Less than 50,300,$300-$399
Inner Sunset,Entire home/apt,75,51-100,125,$100-$199
Western Addition/NOPA,Entire home/apt,50,Less than 50,175,$100-$199
Mission District,Entire home/apt,57,51-100,250,$200-$299
Hayes Valley,Entire home/apt,39,Less than 50,225,$200-$299
Hayes Valley,Private room,12,Less than 50,99,Less than $100
Mission District,Entire home/apt,6,Less than 50,425,$400-$499
The Castro,Private room,102,101-150,110,$100-$199
The Castro,Entire home/apt,9,Less than 50,299,$200-$299
The Castro,Private room,104,101-150,110,$100-$199
Noe Valley,Entire home/apt,106,101-150,130,$100-$199
Nob Hill,Entire home/apt,20,Less than 50,200,$200-$299
The Castro,Entire home/apt,1,Less than 50,250,$200-$299
Mission District,Entire home/apt,28,Less than 50,650,$500-$999
Mission District,Entire home/apt,131,101-150,250,$200-$299
Potrero Hill,Entire home/apt,3,Less than 50,200,$200-$299
The Castro,Entire home/apt,42,Less than 50,250,$200-$299
Outer Sunset,Entire home/apt,88,51-100,221,$200-$299
Mission District,Entire home/apt,34,Less than 50,170,$100-$199
Haight-Ashbury,Entire home/apt,5,Less than 50,175,$100-$199
Bernal Heights,Entire home/apt,1,Less than 50,150,$100-$199
Inner Sunset,Private room,157,151-200,99,Less than $100
Noe Valley,Private room,2,Less than 50,325,$300-$399
Noe Valley,Entire home/apt,60,51-100,445,$400-$499
Bernal Heights,Shared room,2,Less than 50,80,Less than $100
Noe Valley,Entire home/apt,28,Less than 50,159,$100-$199
Hayes Valley,Entire home/apt,49,Less than 50,289,$200-$299
Pacific Heights,Entire home/apt,19,Less than 50,325,$300-$399
Pacific Heights,Entire home/apt,17,Less than 50,169,$100-$199
Potrero Hill,Entire home/apt,38,Less than 50,225,$200-$299
Western Addition/NOPA,Private room,34,Less than 50,85,Less than $100
The Castro,Private room,86,51-100,109,$100-$199
Marina,Private room,87,51-100,135,$100-$199
Western Addition/NOPA,Entire home/apt,20,Less than 50,159,$100-$199
Mission District,Private room,10,Less than 50,155,$100-$199
Western Addition/NOPA,Private room,21,Less than 50,135,$100-$199
Western Addition/NOPA,Private room,24,Less than 50,60,Less than $100
Potrero Hill,Entire home/apt,15,Less than 50,175,$100-$199
The Castro,Entire home/apt,3,Less than 50,399,$300-$399
The Castro,Entire home/apt,31,Less than 50,299,$200-$299
Bernal Heights,Entire home/apt,18,Less than 50,120,$100-$199
Western Addition/NOPA,Entire home/apt,198,151-200,200,$200-$299
Noe Valley,Private room,96,51-100,145,$100-$199
Mission District,Private room,6,Less than 50,100,$100-$199
Mission District,Entire home/apt,86,51-100,420,$400-$499
The Castro,Private room,195,151-200,88,Less than $100
The Castro,Entire home/apt,80,51-100,115,$100-$199
Marina,Entire home/apt,66,51-100,360,$300-$399
The Castro,Entire home/apt,142,101-150,270,$200-$299
Richmond District,Private room,23,Less than 50,95,Less than $100
The Castro,Private room,43,Less than 50,125,$100-$199
Noe Valley,Entire home/apt,3,Less than 50,160,$100-$199
Noe Valley,Entire home/apt,25,Less than 50,238,$200-$299
Potrero Hill,Entire home/apt,1,Less than 50,300,$300-$399
The Castro,Entire home/apt,22,Less than 50,579,$500-$999
Mission District,Private room,41,Less than 50,80,Less than $100
Haight-Ashbury,Entire home/apt,3,Less than 50,750,$500-$999
Haight-Ashbury,Private room,105,101-150,125,$100-$199
Bernal Heights,Entire home/apt,6,Less than 50,320,$300-$399
SoMa,Private room,5,Less than 50,125,$100-$199
Bernal Heights,Private room,58,51-100,102,$100-$199
Mission District,Entire home/apt,96,51-100,129,$100-$199
Mission District,Entire home/apt,36,Less than 50,207,$200-$299
Mission District,Entire home/apt,10,Less than 50,250,$200-$299
Potrero Hill,Entire home/apt,53,51-100,230,$200-$299
Bernal Heights,Entire home/apt,205,201-250,149,$100-$199
Mission District,Entire home/apt,7,Less than 50,250,$200-$299
Outer Sunset,Private room,8,Less than 50,75,Less than $100
SoMa,Entire home/apt,95,51-100,265,$200-$299
The Castro,Entire home/apt,25,Less than 50,550,$500-$999
Bernal Heights,Entire home/apt,11,Less than 50,169,$100-$199
Noe Valley,Private room,63,51-100,195,$100-$199
The Castro,Entire home/apt,2,Less than 50,400,$400-$499
Potrero Hill,Private room,63,51-100,129,$100-$199
Hayes Valley,Entire home/apt,40,Less than 50,185,$100-$199
Haight-Ashbury,Entire home/apt,39,Less than 50,249,$200-$299
Outer Sunset,Entire home/apt,1,Less than 50,200,$200-$299
Mission District,Entire home/apt,17,Less than 50,180,$100-$199
SoMa,Entire home/apt,37,Less than 50,1500,$1000+
Richmond District,Private room,46,Less than 50,135,$100-$199
Mission District,Private room,3,Less than 50,85,Less than $100
Bernal Heights,Private room,18,Less than 50,75,Less than $100
Richmond District,Entire home/apt,118,101-150,140,$100-$199
Noe Valley,Private room,162,151-200,85,Less than $100
Bernal Heights,Entire home/apt,7,Less than 50,260,$200-$299
Richmond District,Private room,89,51-100,123,$100-$199
The Castro,Private room,22,Less than 50,75,Less than $100
The Castro,Private room,16,Less than 50,125,$100-$199
The Castro,Entire home/apt,25,Less than 50,349,$300-$399
Potrero Hill,Entire home/apt,3,Less than 50,394,$300-$399
Richmond District,Entire home/apt,142,101-150,180,$100-$199
Pacific Heights,Entire home/apt,46,Less than 50,175,$100-$199
Western Addition/NOPA,Private room,17,Less than 50,140,$100-$199
Haight-Ashbury,Private room,73,51-100,245,$200-$299
Haight-Ashbury,Private room,55,51-100,215,$200-$299
Haight-Ashbury,Private room,84,51-100,195,$100-$199
Haight-Ashbury,Private room,67,51-100,185,$100-$199
Haight-Ashbury,Private room,106,101-150,165,$100-$199
Haight-Ashbury,Entire home/apt,43,Less than 50,375,$300-$399
Outer Sunset,Private room,65,51-100,89,Less than $100
Western Addition/NOPA,Entire home/apt,29,Less than 50,425,$400-$499
Outer Sunset,Private room,38,Less than 50,95,Less than $100
Inner Sunset,Entire home/apt,230,201-250,150,$100-$199
Haight-Ashbury,Entire home/apt,11,Less than 50,250,$200-$299
Bernal Heights,Entire home/apt,95,51-100,135,$100-$199
Western Addition/NOPA,Private room,28,Less than 50,120,$100-$199
Mission District,Private room,147,101-150,125,$100-$199
Downtown,Entire home/apt,70,51-100,490,$400-$499
Noe Valley,Entire home/apt,33,Less than 50,400,$400-$499
SoMa,Entire home/apt,153,151-200,180,$100-$199
Downtown,Entire home/apt,5,Less than 50,249,$200-$299
The Castro,Entire home/apt,88,51-100,199,$100-$199
Bernal Heights,Entire home/apt,2,Less than 50,325,$300-$399
Nob Hill,Entire home/apt,12,Less than 50,289,$200-$299
Noe Valley,Entire home/apt,111,101-150,245,$200-$299
Potrero Hill,Entire home/apt,12,Less than 50,165,$100-$199
Mission District,Entire home/apt,132,101-150,195,$100-$199
The Castro,Entire home/apt,102,101-150,399,$300-$399
The Castro,Entire home/apt,114,101-150,195,$100-$199
Hayes Valley,Entire home/apt,22,Less than 50,350,$300-$399
Hayes Valley,Private room,76,51-100,115,$100-$199
SoMa,Entire home/apt,27,Less than 50,349,$300-$399
Richmond District,Entire home/apt,53,51-100,120,$100-$199
Mission District,Entire home/apt,41,Less than 50,250,$200-$299
Potrero Hill,Entire home/apt,119,101-150,210,$200-$299
Mission District,Entire home/apt,89,51-100,95,Less than $100
SoMa,Entire home/apt,1,Less than 50,1100,$1000+
Mission District,Entire home/apt,27,Less than 50,219,$200-$299
Marina,Entire home/apt,27,Less than 50,240,$200-$299
Outer Sunset,Entire home/apt,116,101-150,148,$100-$199
Bernal Heights,Entire home/apt,3,Less than 50,380,$300-$399
Noe Valley,Private room,52,51-100,89,Less than $100
Western Addition/NOPA,Private room,142,101-150,75,Less than $100
Hayes Valley,Private room,27,Less than 50,150,$100-$199
Bernal Heights,Entire home/apt,9,Less than 50,189,$100-$199
Noe Valley,Entire home/apt,152,151-200,179,$100-$199
Mission District,Entire home/apt,4,Less than 50,170,$100-$199
Potrero Hill,Private room,163,151-200,150,$100-$199
Haight-Ashbury,Entire home/apt,2,Less than 50,450,$400-$499
Inner Sunset,Entire home/apt,1,Less than 50,345,$300-$399
Mission District,Entire home/apt,5,Less than 50,270,$200-$299
Downtown,Shared room,1,Less than 50,999,$500-$999
The Castro,Entire home/apt,104,101-150,200,$200-$299
Richmond District,Private room,60,51-100,120,$100-$199
The Castro,Entire home/apt,3,Less than 50,250,$200-$299
Bernal Heights,Entire home/apt,5,Less than 50,349,$300-$399
Bernal Heights,Entire home/apt,28,Less than 50,200,$200-$299
Potrero Hill,Entire home/apt,13,Less than 50,800,$500-$999
Hayes Valley,Private room,148,101-150,95,Less than $100
Outer Sunset,Private room,2,Less than 50,480,$400-$499
Noe Valley,Private room,163,151-200,115,$100-$199
Potrero Hill,Entire home/apt,4,Less than 50,230,$200-$299
Richmond District,Private room,308,More than 301,69,Less than $100
Pacific Heights,Entire home/apt,8,Less than 50,295,$200-$299
Mission District,Private room,41,Less than 50,65,Less than $100
SoMa,Private room,172,151-200,143,$100-$199
SoMa,Entire home/apt,30,Less than 50,200,$200-$299
Haight-Ashbury,Private room,96,51-100,125,$100-$199
Haight-Ashbury,Private room,100,51-100,145,$100-$199
Marina,Private room,220,201-250,100,$100-$199
SoMa,Private room,32,Less than 50,200,$200-$299
Mission District,Entire home/apt,4,Less than 50,195,$100-$199
Richmond District,Entire home/apt,11,Less than 50,350,$300-$399
Bernal Heights,Private room,84,51-100,90,Less than $100
Western Addition/NOPA,Private room,6,Less than 50,99,Less than $100
Western Addition/NOPA,Entire home/apt,42,Less than 50,160,$100-$199
Noe Valley,Private room,267,251-300,89,Less than $100
Noe Valley,Entire home/apt,1,Less than 50,200,$200-$299
Haight-Ashbury,Entire home/apt,4,Less than 50,300,$300-$399
Pacific Heights,Entire home/apt,1,Less than 50,1500,$1000+
Western Addition/NOPA,Private room,29,Less than 50,93,Less than $100
Marina,Entire home/apt,145,101-150,195,$100-$199
Hayes Valley,Entire home/apt,3,Less than 50,395,$300-$399
Noe Valley,Entire home/apt,267,251-300,99,Less than $100
Richmond District,Private room,268,251-300,69,Less than $100
Bernal Heights,Entire home/apt,37,Less than 50,205,$200-$299
Downtown,Entire home/apt,20,Less than 50,162,$100-$199
Richmond District,Entire home/apt,25,Less than 50,135,$100-$199
Noe Valley,Private room,13,Less than 50,100,$100-$199
Mission District,Entire home/apt,8,Less than 50,485,$400-$499
Haight-Ashbury,Entire home/apt,2,Less than 50,111,$100-$199
Mission District,Private room,15,Less than 50,75,Less than $100
Pacific Heights,Entire home/apt,47,Less than 50,389,$300-$399
Potrero Hill,Private room,146,101-150,150,$100-$199
Outer Sunset,Private room,12,Less than 50,65,Less than $100
Noe Valley,Entire home/apt,7,Less than 50,375,$300-$399
Bernal Heights,Shared room,43,Less than 50,75,Less than $100
Nob Hill,Entire home/apt,2,Less than 50,750,$500-$999
Western Addition/NOPA,Entire home/apt,192,151-200,95,Less than $100
SoMa,Entire home/apt,31,Less than 50,210,$200-$299
Richmond District,Entire home/apt,5,Less than 50,199,$100-$199
SoMa,Entire home/apt,29,Less than 50,329,$300-$399
Mission District,Entire home/apt,16,Less than 50,150,$100-$199
Marina,Entire home/apt,9,Less than 50,190,$100-$199
Mission District,Entire home/apt,85,51-100,140,$100-$199
Bernal Heights,Entire home/apt,17,Less than 50,350,$300-$399
Western Addition/NOPA,Entire home/apt,5,Less than 50,250,$200-$299
Nob Hill,Entire home/apt,18,Less than 50,150,$100-$199
Pacific Heights,Private room,27,Less than 50,140,$100-$199
Potrero Hill,Entire home/apt,17,Less than 50,350,$300-$399
SoMa,Entire home/apt,80,51-100,875,$500-$999
Noe Valley,Private room,117,101-150,90,Less than $100
Hayes Valley,Private room,41,Less than 50,99,Less than $100
Bernal Heights,Entire home/apt,44,Less than 50,169,$100-$199
Mission District,Entire home/apt,8,Less than 50,300,$300-$399
Bernal Heights,Private room,68,51-100,79,Less than $100
Mission District,Private room,13,Less than 50,100,$100-$199
Noe Valley,Entire home/apt,10,Less than 50,150,$100-$199
Hayes Valley,Private room,3,Less than 50,150,$100-$199
Mission District,Entire home/apt,16,Less than 50,140,$100-$199
Mission District,Entire home/apt,6,Less than 50,245,$200-$299
Mission District,Entire home/apt,1,Less than 50,250,$200-$299
Mission District,Private room,222,201-250,99,Less than $100
Mission District,Entire home/apt,5,Less than 50,950,$500-$999
Richmond District,Entire home/apt,32,Less than 50,150,$100-$199
Noe Valley,Entire home/apt,15,Less than 50,445,$400-$499
Mission District,Entire home/apt,6,Less than 50,245,$200-$299
Haight-Ashbury,Entire home/apt,6,Less than 50,250,$200-$299
The Castro,Entire home/apt,32,Less than 50,335,$300-$399
Marina,Entire home/apt,9,Less than 50,375,$300-$399
Western Addition/NOPA,Entire home/apt,196,151-200,130,$100-$199
Mission District,Entire home/apt,145,101-150,130,$100-$199
SoMa,Private room,41,Less than 50,140,$100-$199
Hayes Valley,Entire home/apt,10,Less than 50,210,$200-$299
The Castro,Entire home/apt,3,Less than 50,350,$300-$399
Mission District,Private room,30,Less than 50,200,$200-$299
Bernal Heights,Entire home/apt,1,Less than 50,155,$100-$199
Mission District,Entire home/apt,16,Less than 50,400,$400-$499
Western Addition/NOPA,Entire home/apt,57,51-100,650,$500-$999
Mission District,Entire home/apt,40,Less than 50,500,$500-$999
Mission District,Private room,28,Less than 50,258,$200-$299
Mission District,Entire home/apt,7,Less than 50,81,Less than $100
Mission District,Private room,28,Less than 50,79,Less than $100
Marina,Entire home/apt,115,101-150,150,$100-$199
Richmond District,Entire home/apt,22,Less than 50,150,$100-$199
Potrero Hill,Entire home/apt,21,Less than 50,325,$300-$399
Bernal Heights,Private room,77,51-100,119,$100-$199
Hayes Valley,Entire home/apt,51,51-100,185,$100-$199
Western Addition/NOPA,Private room,116,101-150,120,$100-$199
Bernal Heights,Private room,2,Less than 50,150,$100-$199
Mission District,Entire home/apt,4,Less than 50,180,$100-$199
Nob Hill,Entire home/apt,7,Less than 50,200,$200-$299
Western Addition/NOPA,Entire home/apt,36,Less than 50,230,$200-$299
Inner Sunset,Entire home/apt,134,101-150,127,$100-$199
Richmond District,Entire home/apt,99,51-100,135,$100-$199
Mission District,Entire home/apt,6,Less than 50,279,$200-$299
Mission District,Private room,23,Less than 50,99,Less than $100
Outer Sunset,Entire home/apt,225,201-250,125,$100-$199
Noe Valley,Entire home/apt,120,101-150,200,$200-$299
Noe Valley,Private room,120,101-150,139,$100-$199
Noe Valley,Entire home/apt,9,Less than 50,300,$300-$399
Noe Valley,Entire home/apt,20,Less than 50,250,$200-$299
SoMa,Entire home/apt,7,Less than 50,328,$300-$399
Inner Sunset,Private room,178,151-200,105,$100-$199
Pacific Heights,Entire home/apt,4,Less than 50,495,$400-$499
Mission District,Entire home/apt,18,Less than 50,400,$400-$499
The Castro,Private room,193,151-200,95,Less than $100
Marina,Entire home/apt,2,Less than 50,300,$300-$399
Nob Hill,Entire home/apt,6,Less than 50,900,$500-$999
Nob Hill,Private room,4,Less than 50,85,Less than $100
Mission District,Private room,310,More than 301,100,$100-$199
Mission District,Private room,314,More than 301,100,$100-$199
Mission District,Entire home/apt,42,Less than 50,203,$200-$299
Mission District,Entire home/apt,143,101-150,310,$300-$399
Haight-Ashbury,Entire home/apt,76,51-100,285,$200-$299
Hayes Valley,Entire home/apt,92,51-100,265,$200-$299
Marina,Entire home/apt,3,Less than 50,200,$200-$299
Mission District,Entire home/apt,98,51-100,225,$200-$299
Mission District,Private room,29,Less than 50,89,Less than $100
Pacific Heights,Entire home/apt,13,Less than 50,200,$200-$299
Mission District,Entire home/apt,218,201-250,154,$100-$199
Mission District,Entire home/apt,11,Less than 50,349,$300-$399
Bernal Heights,Entire home/apt,28,Less than 50,450,$400-$499
Bernal Heights,Entire home/apt,27,Less than 50,265,$200-$299
Mission District,Private room,44,Less than 50,205,$200-$299
Richmond District,Private room,210,201-250,89,Less than $100
Mission District,Private room,27,Less than 50,150,$100-$199
Noe Valley,Entire home/apt,82,51-100,125,$100-$199
Outer Sunset,Entire home/apt,14,Less than 50,202,$200-$299
Outer Sunset,Entire home/apt,124,101-150,127,$100-$199
Mission District,Private room,174,151-200,149,$100-$199
Mission District,Private room,45,Less than 50,120,$100-$199
SoMa,Private room,15,Less than 50,120,$100-$199
Richmond District,Private room,12,Less than 50,70,Less than $100
Haight-Ashbury,Entire home/apt,177,151-200,129,$100-$199
The Castro,Private room,20,Less than 50,135,$100-$199
SoMa,Entire home/apt,10,Less than 50,130,$100-$199
Inner Sunset,Entire home/apt,110,101-150,124,$100-$199
Western Addition/NOPA,Private room,46,Less than 50,80,Less than $100
Hayes Valley,Private room,99,51-100,160,$100-$199
The Castro,Entire home/apt,41,Less than 50,585,$500-$999
