neighborhood,price_range,review_range
Downtown,$100-$200,<100
Nob Hill,$100-$200,<100
The Castro,$100-$200,<100
Inner Sunset,$100-$200,<100
Inner Sunset,$100-$200,<100
Mission District,$100-$200,<100
Bernal Heights,$100-$200,<100
Noe Valley,$100-$200,<100
Mission District,$100-$200,<100
SoMa,$100-$200,<100
The Castro,$100-$200,<100
Noe Valley,$100-$200,<100
Pacific Heights,$100-$200,<100
SoMa,$100-$200,<100
Mission District,$100-$200,<100
Nob Hill,$100-$200,<100
Tenderloin,$100-$200,<100
Downtown,$100-$200,<100
Downtown,$100-$200,<100
Downtown,$100-$200,<100
Downtown,$100-$200,<100
Downtown,$100-$200,<100
Downtown,$100-$200,<100
Downtown,$100-$200,<100
Downtown,$100-$200,<100
Downtown,$100-$200,<100
Downtown,$100-$200,<100
Downtown,$100-$200,<100
Noe Valley,$100-$200,<100
Noe Valley,$100-$200,<100
Noe Valley,$100-$200,<100
Haight-Ashbury,$100-$200,<100
SoMa,$100-$200,<100
Marina,$100-$200,<100
SoMa,$100-$200,<100
Noe Valley,$100-$200,<100
Richmond District,$100-$200,<100
Mission District,$100-$200,<100
Mission District,$100-$200,<100
Noe Valley,$100-$200,<100
Downtown,$100-$200,<100
Mission District,$100-$200,<100
Downtown,$100-$200,<100
Inner Sunset,$100-$200,<100
Downtown,$100-$200,<100
Downtown,$100-$200,<100
Downtown,$100-$200,<100
Richmond District,$100-$200,<100
Inner Sunset,$100-$200,<100
Haight-Ashbury,$100-$200,<100
Bernal Heights,$100-$200,<100
Richmond District,$100-$200,<100
Inner Sunset,$100-$200,<100
Nob Hill,$100-$200,<100
SoMa,$100-$200,<100
Richmond District,$100-$200,<100
Mission District,$100-$200,<100
Nob Hill,$100-$200,<100
SoMa,$100-$200,<100
Pacific Heights,$100-$200,<100
Noe Valley,$100-$200,<100
The Castro,$100-$200,<100
Mission District,$100-$200,<100
Mission District,$100-$200,<100
Noe Valley,$100-$200,<100
Noe Valley,$100-$200,<100
SoMa,$100-$200,<100
Nob Hill,$100-$200,<100
Mission District,$100-$200,<100
SoMa,$100-$200,<100
Downtown,$100-$200,<100
Potrero Hill,$100-$200,<100
Mission District,$100-$200,<100
Downtown,$100-$200,<100
SoMa,$100-$200,<100
SoMa,$100-$200,<100
Mission District,$100-$200,<100
Mission District,$100-$200,<100
Bernal Heights,$100-$200,<100
Bernal Heights,$100-$200,<100
Pacific Heights,$100-$200,<100
Bernal Heights,$100-$200,<100
Noe Valley,$100-$200,<100
Richmond District,$100-$200,<100
Richmond District,$100-$200,<100
Pacific Heights,$100-$200,<100
Mission District,$100-$200,<100
Bernal Heights,$100-$200,<100
SoMa,$100-$200,<100
Noe Valley,$100-$200,<100
Mission District,$100-$200,<100
Mission District,$100-$200,<100
Mission District,$100-$200,<100
Downtown,$100-$200,<100
Mission District,$100-$200,<100
Haight-Ashbury,$100-$200,<100
Bernal Heights,$100-$200,<100
SoMa,$100-$200,<100
The Castro,$100-$200,<100
Marina,$100-$200,<100
Potrero Hill,$100-$200,<100
Bernal Heights,$100-$200,<100
Downtown,$100-$200,<100
Downtown,$100-$200,<100
SoMa,$100-$200,<100
Bernal Heights,$100-$200,<100
Nob Hill,$100-$200,<100
Mission District,$100-$200,<100
Downtown,$100-$200,<100
Noe Valley,$100-$200,<100
Potrero Hill,$100-$200,<100
Bernal Heights,$100-$200,<100
Pacific Heights,$100-$200,<100
Marina,$100-$200,<100
Marina,$100-$200,<100
The Castro,$100-$200,<100
Mission District,$100-$200,<100
Bernal Heights,$100-$200,<100
Mission District,$100-$200,<100
Nob Hill,$100-$200,<100
The Castro,$100-$200,<100
Potrero Hill,$100-$200,<100
Bernal Heights,$100-$200,<100
The Castro,$100-$200,<100
The Castro,$100-$200,<100
The Castro,$100-$200,<100
Downtown,$100-$200,<100
Mission District,$100-$200,<100
Mission District,$100-$200,<100
Nob Hill,$100-$200,<100
